			基データ(↓日本語なら「en⇨ja」に変える	アフリカーンス語	アルバニア語	アムハラ語	アラビア文字	アルメニア語	アゼルバイジャン語	バスク語	ベラルーシ語	ベンガル文字	ボスニア語	ブルガリア語	カタロニア語	セブ語	中国語	中国語（簡体）	中国語（繁体）	コルシカ語	クロアチア語	チェコ語	デンマーク語	オランダ語	英語	エスペラント語	エストニア語	フィンランド語	フランス語	フリジア語	ガリシア語	グルジア語	ドイツ語	ギリシャ語	グジャラト語	クレオール語（ハイチ）	ハウサ語	ハワイ語	ヘブライ語	ヒンディー語	モン語	ハンガリー語	アイスランド語	イボ語	インドネシア語	アイルランド語	イタリア語	日本語	ジャワ語	カンナダ語	カザフ語	クメール語	キニヤルワンダ語	韓国語	クルド語	キルギス語	ラオ語	ラトビア語	リトアニア語	ルクセンブルク語	マケドニア語	マラガシ語	マレー語	マラヤーラム文字	マルタ語	マオリ語	マラーティー語	モンゴル語	ミャンマー語（ビルマ語）	ネパール語	ノルウェー語	ニャンジャ語（チェワ語）	オリヤ語	パシュト語	ペルシャ語	ポーランド語	ポルトガル語（ポルトガル、ブラジル）	パンジャブ語	ルーマニア語	ロシア語	サモア語	スコットランド ゲール語	セルビア語	セソト語	ショナ語	シンド語	シンハラ語	スロバキア語	スロベニア語	ソマリ語	スペイン語	スンダ語	スワヒリ語	スウェーデン語	タガログ語（フィリピン語）	タジク語	タミル語	タタール語	テルグ語	タイ語	トルコ語	トルクメン語	ウクライナ語	ウルドゥー語	ウイグル語	ウズベク語	ベトナム語	ウェールズ語	コーサ語	イディッシュ語	ヨルバ語	ズールー語
ページ	コメント	jsonProperty	en	af	sq	am	ar	hy	az	eu	be	bn	bs	bg	ca	ceb	zh	zh-CN	zh-TW	co	hr	cs	da	nl	en	eo	et	fi	fr	fy	gl	ka	de	el	gu	ht	ha	haw	he	hi	hmn	hu	is	ig	id	ga	it	ja	jv	kn	kk	km	rw	ko	ku	ky	lo	lv	lt	lb	mk	mg	ms	ml	mt	mi	mr	mn	my	ne	no	ny	or	ps	fa	pl	pt	pa	ro	ru	sm	gd	sr	st	sn	sd	si	sk	sl	so	es	su	sw	sv	tl	tg	ta	tt	te	th	tr	tk	uk	ur	ug	uz	vi	cy	xh	yi	yo	zu
タイトル画面	こんにちは	hello	hello	hallo	Përshëndetje	ሰላም	مرحبا	Բարեւ Ձեզ	Salam	agur	добры дзень	হ্যালো	zdravo	Здравейте	Hola	timbaya	你好	你好	你好	Bonghjornu	zdravo	Ahoj	Hej	Hallo	hello	saluton	Tere	Hei	Bonjour	Hallo	Ola.	გამარჯობა	Hallo	γεια σας	નમસ્તે	alo	sannu	aloha	שלום	नमस्ते	nyob zoo	Helló	Halló	Nnọọ	Halo	Dia dhuit	Ciao	こんにちは	hello	ಹಲೋ	Сәлеметсіз бе	ចមរាបសយរ	muraho	안녕하세요	Slav	салам	ສະບາຍດີ	Sveiki	Sveiki	Hallo	Здраво	Salama	hello.	ഹലോ	Bongu	ora	नमस्कार	Сайн уу	ဟယ်လို	अभिवादन	Hallo	Moni	ନମସ୍କାର	سلام	سلام	Witaj	Olá	ਸਤ ਸ੍ਰੀ ਅਕਾਲ	Buna ziua	Привет	talofa	Halò	Здраво	Lumela	Mhoro	سلام	ආයුබෝවන්	Ahoj	zdravo	ma nabad baa	Hola	Halo	Hello.	Hej	Kamusta	Салом	வணக்கம்	Сәлам	హలో	สวัสดี	Merhaba	salam	Здрастуйте	ہیلو	ياخشىمۇسىز	Salom	xin chào	Helo	Mholweni	אַ גוטן	Pẹlẹ o	Sawubona
	タイトル	title	Flutter Demo Home Page	Fladder Demo Tuisblad	Flutter Demo Faqja Kryesore	የመነሻ ማሳያ መነሻ ገጽ	رفرفة الصفحة الرئيسية	Flutter Demo գլխավոր էջ	Flutter Demo Ana Səhifə	Flutter Demo Hasierako orria	Flutter Demo Home Page	Flutter ডেমো হোম পেজ	Lebdec demonjska stranica	Начална страница на демокрацията	Pàgina d'inici de la demostració	Page sa Demo Home	扑腾演示主页	扑腾演示主页	扑騰演示主頁	Flutter Demo Home Pagina	Početna stranica Demo Demo	Flutter Demo Hlavní stránka	Flutter Demo Hjemmeside	Fladder demo startpagina	Flutter Demo Home Page	Flutter Demo Hejmpaĝo	Flutter Demo avaleht	Flutter demo kotisivu	Page d'accueil de démonstration de flutter	Flutter Demo Startpagina	Páxina de inicio de demostración de flutter	Flutter დემო მთავარი გვერდი	Flutter-Demo-Startseite	Αρχική σελίδα Demo Flutter	ફ્લટર ડેમો હોમ પેજ	Flutter Demo Home Page	Shafin Gida na Futter	ʻAoʻao home Kōkua Fluster	דף הבית של הדגמה לרפרף	फ्टरर डेमो होम पेज	Fling Demo Tsev Nplooj	Flutter demo kezdőlapja	Flutter Demo Heimasíða	Peeji nke Flterter Home	Halaman Beranda Demo Flutter	Leathanach Baile Flutter Demo	Blutter Demo Home Page	フラッターデモホームページ	Kaca Ngarep FLUTTER DEMO	ಫ್ಲಟರ್ ಡೆಮೊ ಹೋಮ್ ಪೇಜ್	Дыбырту демонстрациялық үй беті	ទំព័រដើមទំព័រដើម	Page ya demo demo	펄터 데모 홈 페이지	Rûpela Serûpelê Demo ya Flutter	Flutter Demo Home	ຫນ້າທໍາອິດຂອງ Flutter Demo	Flutter demo mājas lapa	"Flutter Demo" pagrindinis puslapis	Flutter Demo Home Säit	Flutter Demo почетна страница	Pejin'ny trano Demo Butter	Flutter Demo Laman Utama	ഫ്ലെട്ടർ ഡെമോ ഹോം പേജ്	Paġna Ewlenija tad-Demo ta 'Flutter	Paetukutuku Flutter Dromo Whārangi	फ्लेटर डेमो होम पेज	Flutter Demo Home хуудас	Flutter သရုပ်ပြ home စာမျက်နှာ	फ्लोटर डेमो गृह पृष्ठ	Flutter Demo Hjemmeside	Tsamba Laurter Count	ଫ୍ଲୁଟର୍ ଡେମୋ ମୂଳପୃଷ୍ଠା |	د فلټر ډیمو کور پا .ه	صفحه اصلی نسخه ی نمایشی Flutter	Strona główna strumienia strumieniowego	Flutter Demo Home Page	ਫਿ right ਚਰਜ਼ ਡੈਮੋ ਹੋਮ ਪੇਜ	Flutter Demo Pagina de pornire	Пахабка демонстрационная домашняя страница	Flitter Demo House Itulau	Duilleag dachaigh Flutter Demo	Леттер Демо Почетна страница	Flutter demo ea lapeng	Flutter demo imba peji	فلٽر ڊيمو گهر جو صفحو	ෆ්ලූටර් ප්රදර්ශන මුල් පිටුව	Domovská stránka flutter demo	Domača stran za izpraznitev	Devette Demo Bogga	Flotter Demo Página de inicio	Halaman Home Home Home	Ukurasa wa Demo ya Flutter Ukurasa	Flutter demo hemsida	Flutter demo home page.	Flacker Саҳифаи намоишӣ	Flutter டெமோ முகப்பு பக்கம்	Тәртип Демо Баш бит	Flutter డెమో హోమ్ పేజీ	หน้าแรกสาธิตการกระพือปีก	Flutter Demo Ana Sayfa	Demo baş sahypasy	Домашня сторінка Flutter Demo	فلٹر ڈیمو ہوم پیج	Flutter Dame باش بېتى	Flör demo uy sahifasi	Trang chủ demo rung	Tudalen Gartref Flutter Demo	Iphepha le-Plutter Pam ye-Plall	פלאָנט דעמאָ היים בלאַט	Ohun elo Demort Demo	Ikhasi lasekhaya le-Flutter Demo
	何回押したよ	message	You have pushed the button this many times	Jy het die knoppie so baie keer gestoot	Ju keni shtyrë butonin këtë herë	አዝራሩን ብዙ ጊዜ ገፋፍተዋል	لقد دفعت الزر هذه المرات عدة مرات	Դուք այս բազմիցս հրել եք կոճակը	Bu düyməni dəfələrlə itələdin	Askotan botoia sakatu duzu	Вы падштурхнулі кнопку, гэта шмат разоў	আপনি এই অনেক বার বাটন ধাক্কা আছে	Dugo puta ste gurnuli dugme	Много пъти сте натиснали бутона	Heu empès el botó moltes vegades	Imong giduso ang butones sa daghang mga higayon	你很多次推动了这键	你很多次推动了这键	你很多次推動了這鍵	Avete pusatu u buttone chì parechje volte	Toliko puta ste gurnuli gumb	Tohle jste toto tlačítko tlačili	Du har skubbet knappen dette mange gange	Je hebt deze vele malen op de knop geduwd	You have pushed the button this many times	Vi multfoje puŝis la butonon	Olete seda mitu korda vajutanud	Olet painanut tämän monta kertaa	Vous avez poussé le bouton au-dessus de plusieurs fois	Jo hawwe dizze in protte kearen de knop skood	Empuxaches o botón isto moitas veces	თქვენ ბევრჯერ დააჭირეთ ღილაკს ღილაკს	Sie haben den Button dies oft gedrückt	Έχετε ωθήσει το κουμπί αυτό πολλές φορές	તમે આ બટનને ઘણી વખત દબાણ કર્યું છે	Ou te pouse bouton sa a anpil fwa	Kun tura maballin wannan sau da yawa	Ua hukiʻoe i ka pihi i kēia mau manawa	יש לך דחף את הכפתור זה פעמים רבות	आपने इसे कई बार बटन दबा दिया है	Koj tau thawb lub pob no ntau zaus	Ezt sokszor megnyomta a gombot	Þú hefur ýtt á hnappinn oft mörgum sinnum	I tinyela bọtịnụ a ọtụtụ oge	Anda telah menekan tombol ini berkali-kali	Tá an cnaipe brúite agat go minic	Hai spinto il pulsante in questo modo molte volte	あなたはこのボタンを何度も押しました	Sampeyan wis nyurung tombol iki kakehan	ನೀವು ಈ ಬಟನ್ ಅನ್ನು ಈ ಅನೇಕ ಬಾರಿ ತಳ್ಳಿದ್ದೀರಿ	Түймені бірнеше рет итердіңіз	អ្នកបានរុញប៊ូតុងនេះច្រើនដង	Wasunitse buto ibi inshuro nyinshi	이 버튼을 여러 번 밀었습니다	We gelek caran bişkojka kişand	Сиз баскычты бир нече жолу түртүп жибердиңиз	ທ່ານໄດ້ກົດປຸ່ມນີ້ຫຼາຍຄັ້ງແລ້ວ	Jūs daudzkārt esat nospiežat pogu	Jūs daug kartų nustumėte mygtuką	Dir hutt de Knäppchen dëse Knäppchen gedréckt	Многу пати го турнавте копчето	Nanosika ny bokotra ity imbetsaka ianao	Anda telah menolak butang ini banyak kali	നിങ്ങൾ ബട്ടൺ അമർത്തിക്കൊണ്ടിരിക്കുന്നു	Inti imbuttat il-buttuna dan ħafna drabi	Kua peia e koe te paatene i tenei wa maha	आपण बर्याच वेळा बटण दाबले आहे	Та энэ товчийг дарсан байна	သငျသညျဤအကြိမ်ပေါင်းများစွာခလုတ်တွန်းပါပြီ	तपाईंले यो धेरै पटक बटन धकेड्लनुभयो	Du har presset knappen denne mange ganger	Mwakankhira batani nthawi zambiri	ଆପଣ ଏହାକୁ ଅନେକ ଥର ବଟନ୍ କୁ ଠେଲି ଦେଇଛନ୍ତି |	تاسو د دې ډیری وختونو ت button ۍ اړولی	این دکمه را چند بار فشار داده اید	Wiele razy wepchnąłeś przycisk	Você empurrou o botão isso muitas vezes	ਤੁਸੀਂ ਇਸ ਨੂੰ ਬਹੁਤ ਵਾਰ ਧੱਕਿਆ ਹੈ	Ați împins butonul de mai multe ori	Вы нажали кнопку так много раз	Ua e tuleia le faamau lea i le tele o taimi	Tha thu air am putan a phutadh seo iomadh uair	Ово си то много пута гурнуо	U sutumetse konopo ka makhetlo a mangata	Iwe wakasundira bhatani rino kakawanda	توهان هن کي ڪيترائي ڀيرا بٽڻ دٻايو آهي	ඔබ මෙය බොහෝ වාරයක් බොත්තම තල්ලු කර ඇත	TOTO POTREBUJETE TLAČIDLO	To je večkrat potisnil gumb	Waxaad riixday badhanka marar badan	Has presionado el botón esta veces	Anjeun parantos kadorong tombol ieu sababaraha kali	Umesukuma kifungo mara nyingi.	Du har tryckt på knappen så många gånger	Itinulak mo ang pindutan na ito nang maraming beses	Шумо чандин маротиба тугмаро тела додаед	நீங்கள் பல முறை பொத்தானை தள்ளிவிட்டீர்கள்	Сез бу күп тапкыр төймәгә этәрдегез	మీరు ఈ అనేకసార్లు బటన్ను ముందుకు తెచ్చారు	คุณกดปุ่มนี้หลายครั้งแล้ว	Düğmeyi bu birçok kez bastınız	Bu düwmäni köp gezek iteklediňiz	Ви багато разів виштовхуєте кнопку	آپ نے اس بٹن کو اس بار بار دھکا دیا ہے	سىز بۇ كۇنۇپكىنى ئىتتىرىۋەتتىڭىز	Siz bu tugmachani ko'p marta itardingiz	Bạn đã nhấn nút này nhiều lần	Rydych chi wedi gwthio'r botwm hwn sawl gwaith	Utyhale iqhosha eliphindwe kaninzi	איר האָט פּושט די קנעפּל אַזוי פילע מאָל	O ti ti sita ni eyi ni ọpọlọpọ igba	Ucindezele inkinobho izikhathi eziningi
				#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!
				#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!
				#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!
				#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!
				#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!
				#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!
